City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,carnarvon,-24.8667,113.6333,20.46,28,0,2.26,AU,1689565818
335,nishinoomote,30.7333,131.0,31.31,79,75,6.17,JP,1689565818
336,xilin hot,43.9667,116.0333,29.03,27,24,2.31,CN,1689565818
337,nosy varika,-20.5833,48.5333,19.4,79,86,1.97,MG,1689565818
338,lebu,-37.6167,-73.65,6.25,72,99,2.5,CL,1689565818
339,'ain el hadjar,34.7585,0.1453,28.63,11,0,5.63,DZ,1689565818
340,howrah,22.5892,88.3103,28.0,94,40,2.57,IN,1689565647
341,bontang,0.1333,117.5,29.9,64,100,2.88,ID,1689565819
342,carira,-10.3608,-37.7011,18.14,96,5,1.66,BR,1689565819
343,ipatovo,45.7181,42.9036,19.11,63,42,5.54,RU,1689565819
344,kirensk,57.7853,108.1119,17.12,98,100,2.38,RU,1689565819
345,retreat,38.8245,-85.8533,24.51,83,15,0.45,US,1689565819
346,vorkuta,67.5,64.0,17.06,83,100,5.88,RU,1689565820
347,north bay,46.3168,-79.4663,20.01,88,0,2.57,CA,1689565820
348,acopiara,-6.0953,-39.4525,20.27,64,26,1.52,BR,1689565820
349,itoman,26.1247,127.6694,31.43,88,40,10.29,JP,1689565820
350,nizhnesortymskiy,62.4397,71.7603,20.46,51,34,7.53,RU,1689565820
351,tchibanga,-2.85,11.0333,19.61,92,62,1.06,GA,1689565820
352,kapa'a,22.0752,-159.319,27.99,84,75,8.75,US,1689565821
353,morant bay,17.8815,-76.4093,29.79,86,7,3.94,JM,1689565821
354,mayahi,13.9553,7.6712,31.12,41,96,1.95,NE,1689565821
355,belle fourche,44.6714,-103.8522,20.6,59,41,1.01,US,1689565821
356,afif,23.9065,42.9172,30.6,13,45,2.39,SA,1689565821
357,roma,43.2128,-75.4557,20.96,94,0,0.0,US,1689565589
358,sorong,-0.8833,131.25,26.54,83,100,3.94,ID,1689565821
359,thurgoona,-36.0451,146.9919,16.48,100,0,0.45,AU,1689565822
360,tagaw-bay,35.6994,66.0616,25.41,20,0,1.86,AF,1689565822
361,bloemfontein,-29.1211,26.214,-2.29,86,0,0.0,ZA,1689565822
362,la ronge,55.1001,-105.2842,17.14,59,100,0.0,CA,1689565822
363,oban,56.4127,-5.4706,11.32,91,100,2.41,GB,1689565822
364,cambria,35.5641,-121.0808,29.41,79,62,0.62,US,1689565822
365,kiunga,-6.1219,141.2906,28.96,62,87,1.74,PG,1689565823
